Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
37097,-1.085,0.459,-0.401,-200.542,20.756,122.328,36,0
37181,-0.383,-0.177,-0.355,118.588,-66.557,-34.099,125,124
37261,-0.138,-0.133,-0.048,-36.023,-128.275,-115.45,51,110
37351,-1.552,2.0,-0.54,193.298,-194.573,-37.969,137,0
37436,-0.18,1.268,-0.399,119.718,-136.687,3.424,50,0
37520,0.242,0.418,-0.06,48.176,-75.771,-39.824,44,0
37608,0.059,0.028,-0.072,104.198,-63.237,-67.244,58,0
37700,-2.0,2.0,-2.0,250.13,-250.137,0.942,0,166
37791,-1.268,1.276,-0.909,-158.183,-146.824,-138.351,0,172
37876,-0.461,0.295,-0.435,61.099,-250.137,-250.137,50,0
37968,-0.209,0.989,-0.699,104.878,-250.137,-150.443,0,180
38063,0.244,0.476,-0.213,-102.351,-180.069,-103.878,0,0
38156,-0.088,-0.586,0.513,-143.237,87.298,-95.267,0,0
38240,-0.429,-1.662,1.033,-1.352,-35.733,5.905,44,0
38328,-0.382,-0.794,-0.028,250.13,-169.786,179.626,39,0
38412,-0.098,1.411,0.786,65.336,-236.183,-42.145,45,0
38496,2.0,-2.0,1.387,-250.137,-209.206,-80.687,26,0
38576,2.0,-1.26,-0.001,232.969,-136.458,30.359,26,149
38670,0.804,-0.374,0.218,-106.824,42.84,30.344,0,0
38753,0.248,-0.37,0.107,-38.879,103.84,33.817,9,5
38837,0.186,-0.004,0.218,87.886,106.023,16.189,37,0
38922,0.046,-0.042,0.642,-46.656,89.611,-8.424,38,0
39006,-0.197,-0.674,1.104,-41.985,160.412,54.435,40,0
39093,-0.552,-0.5,0.573,47.496,240.901,105.794,44,0
39177,-1.167,-0.374,0.43,48.595,173.954,58.382,36,0
39262,-0.943,-0.382,0.477,1.63,82.847,34.618,39,0
39355,-0.989,-0.667,0.908,-94.84,-3.251,24.627,0,0
39439,-0.721,-0.335,0.521,84.13,-14.635,12.568,37,0
39523,-0.762,-0.042,0.394,35.55,-1.372,-0.075,43,0
39607,-0.856,-0.221,0.558,-35.817,-4.307,-1.022,36,0
39692,-0.813,-0.322,0.508,10.308,-1.207,-2.636,36,0
39785,-0.807,-0.245,0.529,12.739,5.089,-2.88,0,0
39872,-0.801,-0.286,0.504,0.571,-1.551,1.055,43,0
39956,-0.809,-0.281,0.508,12.21,-4.522,0.849,45,0
40041,-0.795,-0.224,0.549,1.72,1.429,1.346,44,0
40134,-0.762,-0.258,0.551,-10.724,3.621,0.418,0,0
40227,-0.818,-0.29,0.518,-2.111,-2.797,-0.471,0,0
40311,-0.814,-0.212,0.483,-2.689,-1.02,-3.383,37,0
40404,-0.924,-0.254,0.472,-10.159,-15.081,-13.703,0,0
40489,-0.98,-0.458,0.552,-33.985,-30.998,-23.489,38,0
40574,-0.726,-0.568,0.557,-8.044,-37.557,-53.122,45,0
40662,-0.606,-0.448,0.662,45.687,-49.595,-56.779,40,0
40747,-0.467,-0.336,0.737,-10.349,-48.595,-41.321,43,0
40830,-0.289,-0.44,0.824,-23.046,-34.107,-25.84,36,0
40925,-0.334,-0.489,0.753,-26.916,-33.948,-10.221,0,0
41018,-0.329,-0.538,0.692,-20.099,-23.109,4.319,0,0
41103,-0.157,-0.559,0.834,8.504,19.626,46.397,50,0
41196,-0.388,-0.222,0.665,-10.442,7.153,80.725,0,0
41281,-0.737,-0.346,0.556,15.659,-0.861,123.275,42,0
41365,-0.663,-0.25,0.389,42.786,23.015,127.023,45,190
41452,-1.221,-0.314,0.708,-100.298,4.37,24.767,32,0
41535,-0.922,-0.187,0.795,87.42,19.985,21.603,16,0
41619,-0.881,-0.17,0.523,34.137,21.382,-16.147,16,0
41703,-0.71,-0.122,0.525,105.344,-1.981,-22.55,42,0
41787,-0.771,0.219,0.716,79.084,1.356,-33.084,36,0
41873,-0.825,0.396,0.689,-23.298,21.389,-51.321,67,0
41958,-0.689,-0.146,0.303,-186.992,0.337,-28.893,37,0
42044,-0.566,-0.699,0.426,-148.55,-58.412,-11.759,64,0
42138,-0.696,-0.531,0.398,56.771,-6.106,31.134,0,0
42226,-0.872,-0.331,0.64,92.099,3.409,9.155,37,0
42310,-0.787,-0.094,0.631,21.298,-40.977,-45.573,38,0
42396,-0.726,-0.478,0.853,-22.122,-35.298,-99.58,51,0
42483,-0.701,-0.306,0.905,120.977,-54.748,-95.565,78,0
42570,-0.472,0.061,0.78,24.8,-98.504,-84.588,82,0
42664,-0.163,-0.335,0.801,10.023,-94.947,-60.076,0,0
42746,0.125,-0.319,0.929,31.267,-77.42,-64.855,52,134
42831,0.15,-0.282,1.028,5.059,-66.214,-66.84,0,47
42911,0.171,-0.246,1.001,53.046,-65.313,-50.672,52,46
42988,0.492,0.041,0.941,49.626,-48.397,-25.985,60,45
43065,0.583,0.058,0.818,32.672,-30.525,-13.045,51,44
43142,0.534,0.073,0.7,-20.892,-21.034,2.804,58,43
43218,0.491,-0.074,0.787,-36.244,37.977,23.168,44,43
43295,0.282,-0.297,0.911,-82.092,52.832,16.66,60,43
43372,-0.094,-0.406,0.977,2.116,38.573,14.226,58,45
43453,-0.092,-0.186,0.943,-12.143,-1.404,16.927,39,124
43533,0.109,-0.376,1.019,-10.838,-18.605,-1.275,34,123
43612,0.337,-0.335,1.012,38.405,-15.736,-17.526,32,43
43693,0.487,-0.093,0.957,24.489,18.779,-1.076,38,41
43768,0.486,0.051,0.908,-55.626,58.939,30.116,57,43
43852,0.213,-0.179,0.96,-109.786,43.481,48.588,45,0
43936,0.069,-0.471,0.941,-57.267,0.236,76.42,43,0
44020,-0.122,-0.538,0.778,-59.382,-27.058,99.557,38,0
44104,-0.278,-0.867,0.743,-24.252,-43.313,84.076,47,0
44188,-0.116,-0.695,0.694,33.206,-19.59,70.076,40,0
44272,-0.024,-0.625,0.789,-11.772,0.397,49.588,36,0
44358,-0.068,-0.349,0.815,11.899,19.656,36.809,30,0
44441,0.035,-0.388,0.939,30.557,24.267,34.992,30,0
44525,0.089,-0.203,0.907,36.553,39.962,74.237,36,0
44608,-0.213,-0.106,0.903,-1.257,36.374,79.183,31,0
44692,-0.579,-0.031,0.838,-11.528,22.878,85.382,36,0
44775,-0.948,-0.075,0.871,-34.046,17.927,83.023,31,0
44859,-0.901,-0.332,0.743,-19.359,3.941,80.84,29,0
44942,-0.779,-0.308,0.637,-20.71,19.938,52.985,24,0
45025,-0.711,-0.246,0.614,-6.005,20.802,29.096,26,0
45111,-0.605,-0.201,0.563,24.157,-0.368,1.77,22,0
45194,-0.667,-0.003,0.606,23.957,-8.671,0.074,25,0
45277,-0.652,-0.046,0.732,11.903,0.854,27.897,27,0
45360,-0.685,-0.075,0.754,-4.427,17.916,40.573,25,0
45443,-0.703,-0.093,0.727,15.194,18.046,31.388,25,0
45526,-0.7,0.034,0.742,7.144,4.898,7.427,24,0
45608,-0.71,0.028,0.796,6.491,-1.636,10.551,24,0
45691,-0.659,0.094,0.776,7.3,-7.571,15.777,26,0
45775,-0.727,0.086,0.79,-17.762,-10.514,25.676,35,0
45861,-0.55,0.088,0.792,33.328,-45.504,13.758,23,0
45945,-0.519,0.27,0.838,71.206,-85.015,24.472,36,0
46028,-0.371,0.473,0.832,175.649,-79.13,64.748,28,0
46112,-0.365,0.516,0.767,144.817,-22.803,95.542,30,0
46196,0.622,1.59,0.349,144.55,112.298,147.733,36,0
46279,-0.319,0.841,0.296,-235.802,123.847,122.939,16,0
46362,-0.797,-0.151,0.654,-123.084,95.336,120.466,19,0
46445,-0.613,0.71,0.482,-56.55,3.354,110.084,18,0
46521,-1.119,0.528,1.376,-178.435,41.824,-11.601,23,83
46600,0.314,1.191,0.34,141.748,16.656,72.275,23,59
46674,0.219,0.667,0.609,-2.858,28.26,46.55,27,57
46748,0.138,0.6,0.763,-18.885,28.374,76.366,5,57
46824,0.395,0.983,0.57,-56.519,34.206,72.344,9,79
46899,-0.038,0.4,0.685,-186.275,4.731,103.45,11,66
46973,-0.187,0.909,0.779,35.585,-1.774,90.763,11,62
47058,0.318,-0.129,0.564,41.748,-35.865,36.504,0,64
47134,0.202,0.756,0.542,4.515,-78.344,73.893,24,61
47210,0.751,0.757,1.338,-10.472,-148.275,105.542,29,64
47288,0.981,0.614,0.857,18.04,-66.382,96.824,24,59
47364,0.575,0.456,0.884,48.733,-46.351,68.42,29,62
47440,0.914,0.438,0.65,82.954,-13.356,49.282,49,60
47522,0.574,0.71,1.046,81.481,13.777,31.517,0,10
47605,0.663,2.0,0.112,250.13,-16.495,250.13,0,17
47691,0.775,-0.512,0.843,-69.42,3.569,145.672,63,0
47769,1.237,-0.26,0.754,210.374,79.069,107.481,44,81
47853,0.667,1.617,-0.529,-31.206,44.427,174.26,49,0
47947,0.039,-0.331,0.094,-132.42,103.878,250.13,0,0
48034,-0.532,-0.733,-0.085,-16.919,22.962,157.389,50,0
48120,-0.467,-0.774,0.096,150.137,59.649,155.618,58,0
48205,-0.684,-0.403,0.51,20.488,108.855,151.687,58,0
48299,-0.63,-0.66,0.934,123.511,77.069,148.802,0,0
48392,-0.75,-0.261,1.025,153.275,60.847,46.305,0,0
48475,-0.867,0.011,0.935,89.504,34.023,-4.285,16,0
48558,-0.624,0.33,0.813,-25.678,-11.64,5.656,17,0
48641,-0.634,-0.266,0.807,-97.412,-1.155,2.112,13,0
48723,-0.614,-0.472,0.903,19.492,-11.138,-2.399,11,0
48809,-0.583,-0.033,0.729,73.443,-15.899,1.6,12,0
48891,-0.502,-0.05,0.936,35.168,-12.193,0.776,13,0
48974,-0.486,-0.007,0.915,4.715,2.463,0.217,12,0
49065,-0.537,0.036,0.822,-27.893,7.171,-1.969,14,0
49147,-0.602,-0.07,0.89,-130.901,24.695,1.677,11,0
49230,-0.633,-0.272,0.656,-166.748,29.015,7.431,11,0
49312,-0.527,-0.39,0.543,-204.061,6.075,3.882,9,0
49404,-0.714,-0.832,0.473,-190.511,-18.282,24.684,0,0
49498,-0.55,-0.682,0.036,-153.282,-11.023,35.397,0,0
49594,-0.659,-0.835,0.127,-11.681,9.011,14.55,0,0
49687,-0.64,-0.857,0.266,15.398,2.39,9.259,0,0
49779,-0.654,-0.811,0.146,12.774,-2.671,-8.465,0,0
49872,-0.65,-0.775,0.149,7.474,1.6,-1.52,0,0
49966,-0.659,-0.701,0.106,1.745,1.139,1.432,0,0
50058,-0.665,-0.694,0.084,5.941,-2.483,-0.247,0,0
50151,-0.656,-0.708,0.115,6.175,-2.194,-1.895,0,0
50244,-0.654,-0.722,0.137,4.502,0.707,-1.498,0,0
50336,-0.652,-0.714,0.13,0.353,0.729,-0.429,0,0
50433,-0.654,-0.728,0.131,1.858,-0.423,-1.394,0,0
50526,-0.648,-0.733,0.144,6.048,-1.279,-0.843,0,0
50619,-0.648,-0.759,0.158,3.957,-2.067,-0.346,0,0
50712,-0.65,-0.737,0.141,6.663,-1.578,0.155,0,0
50805,-0.643,-0.738,0.17,10.571,-2.061,-1.179,0,0
50898,-0.633,-0.755,0.15,2.906,-8.487,-7.901,0,0
50991,-0.645,-0.733,0.197,57.939,-18.294,-13.226,0,0
51084,-0.646,-0.719,0.301,63.015,-24.486,-26.809,0,0
51166,-0.536,-0.692,0.439,108.718,-16.576,-20.916,5,0
51252,-0.493,-0.586,0.638,78.351,-2.658,-14.563,6,0
51334,-0.508,-0.544,0.615,94.321,-2.711,-10.703,5,0
51416,-0.514,-0.457,0.705,70.641,2.749,-6.39,7,0
51497,-0.53,-0.416,0.763,36.0,7.964,-5.622,6,0
51579,-0.495,-0.362,0.76,16.292,9.059,-3.805,6,0
51661,-0.527,-0.406,0.715,-6.595,2.624,-6.366,7,0
51743,-0.541,-0.433,0.69,4.972,-3.271,-6.077,6,0
51825,-0.505,-0.375,0.751,21.404,-2.311,-1.702,7,0
51907,-0.505,-0.393,0.766,11.071,-2.524,-0.568,6,0
51992,-0.493,-0.389,0.775,5.09,-0.722,1.946,6,0
52075,-0.534,-0.343,0.74,10.747,-2.899,2.785,6,0
52157,-0.491,-0.366,0.803,15.335,-2.666,1.289,7,0
52239,-0.518,-0.34,0.793,4.989,-1.643,0.333,7,0
52321,-0.513,-0.324,0.79,0.614,1.54,-0.135,7,0
52403,-0.514,-0.338,0.792,-1.474,2.902,-0.992,7,0
52485,-0.507,-0.328,0.778,-1.381,2.764,-1.382,7,0
52568,-0.517,-0.359,0.78,-0.398,1.168,-0.863,7,0
52649,-0.517,-0.346,0.775,0.32,0.436,1.12,7,0
52731,-0.514,-0.334,0.768,0.524,0.421,1.014,7,0
52816,-0.526,-0.349,0.77,-1.368,0.641,0.224,7,0
52899,-0.52,-0.336,0.769,0.507,0.09,0.676,7,0
52981,-0.533,-0.367,0.767,2.092,-1.355,0.609,7,0
53063,-0.514,-0.314,0.774,2.673,0.205,1.281,7,0
53145,-0.518,-0.34,0.768,2.737,-1.314,0.46,7,0
53227,-0.52,-0.342,0.769,4.899,-3.076,0.271,7,0
53310,-0.521,-0.332,0.774,6.618,-5.033,-0.11,7,0
53392,-0.513,-0.329,0.781,10.81,-5.097,1.291,7,0
53474,-0.501,-0.299,0.804,9.889,-3.082,3.602,8,0
53560,-0.514,-0.29,0.804,7.401,-3.235,3.375,7,0
53642,-0.511,-0.277,0.822,9.858,-3.322,2.068,7,0
53724,-0.497,-0.256,0.826,7.477,-1.323,1.319,7,0
53807,-0.505,-0.253,0.814,1.519,-0.27,-0.338,8,0
53889,-0.512,-0.27,0.82,1.064,-0.715,-0.245,8,0
53971,-0.496,-0.253,0.821,2.771,-0.089,-0.262,8,0
54053,-0.507,-0.265,0.818,-2.481,0.864,-0.098,8,0
54135,-0.502,-0.259,0.815,-0.859,1.444,0.338,8,0
54218,-0.517,-0.27,0.812,0.075,-0.254,0.097,8,0
54300,-0.503,-0.252,0.815,0.038,0.76,0.073,8,0
54386,-0.517,-0.279,0.797,-2.748,0.804,0.319,8,0
54468,-0.499,-0.239,0.809,0.776,0.785,0.299,9,0
54551,-0.513,-0.273,0.81,0.659,0.088,0.147,9,0
54633,-0.501,-0.25,0.802,-0.107,0.169,-0.157,9,0
54716,-0.515,-0.276,0.808,0.136,-0.109,0.354,9,0
54798,-0.511,-0.259,0.804,2.241,-0.791,0.962,7,0
54880,-0.503,-0.253,0.812,2.05,-0.564,0.712,7,0
54963,-0.5,-0.246,0.803,1.949,-0.078,-0.065,7,0
55045,-0.507,-0.266,0.809,3.944,-1.539,0.23,7,0
55131,-0.513,-0.27,0.816,2.045,-2.379,-0.139,8,0
55213,-0.511,-0.26,0.815,3.409,-1.627,0.189,7,0
55296,-0.5,-0.241,0.822,3.641,-1.146,0.167,7,0
55377,-0.509,-0.246,0.815,2.924,-1.545,0.283,9,0
55460,-0.502,-0.247,0.818,4.102,-1.989,0.938,9,0
55543,-0.505,-0.239,0.826,3.961,-1.961,1.662,9,0
55625,-0.498,-0.227,0.831,3.137,-1.332,1.28,7,0
55708,-0.506,-0.237,0.828,1.892,-1.316,0.214,8,0
55790,-0.497,-0.216,0.822,1.537,-0.489,-0.368,8,0
55873,-0.512,-0.24,0.815,1.072,-0.541,0.142,8,0
55959,-0.5,-0.221,0.829,1.262,-0.726,0.137,8,0
56041,-0.502,-0.228,0.818,-0.2,-0.249,0.224,8,0
56124,-0.503,-0.234,0.822,1.118,-0.919,0.033,8,0
56206,-0.496,-0.225,0.832,1.461,-0.878,0.757,8,0
56289,-0.495,-0.225,0.835,0.394,-0.494,-0.084,8,0
56372,-0.5,-0.227,0.827,0.338,-0.071,0.019,8,0
56454,-0.497,-0.223,0.831,0.363,-0.361,-0.092,8,0
56537,-0.509,-0.231,0.829,-0.155,-0.623,0.548,8,0
56619,-0.492,-0.22,0.826,1.603,-0.739,0.164,8,0
56705,-0.509,-0.217,0.828,-0.478,-0.175,-0.279,8,0
56787,-0.498,-0.23,0.822,0.588,-0.42,0.167,8,0
56870,-0.494,-0.232,0.839,1.213,-0.937,0.735,8,0
56952,-0.501,-0.209,0.836,0.679,-0.491,0.815,8,0
57035,-0.502,-0.225,0.823,-0.555,-0.406,-0.116,8,0
57118,-0.503,-0.227,0.833,0.406,-0.326,-0.204,8,0
57201,-0.507,-0.236,0.826,-1.919,0.111,0.067,8,0
57283,-0.498,-0.221,0.823,0.491,0.211,0.467,8,0
57366,-0.492,-0.217,0.829,-0.132,1.025,0.059,8,0
57452,-0.509,-0.23,0.832,-5.088,2.293,-0.134,8,0
57535,-0.522,-0.242,0.799,-3.671,1.347,-0.022,8,0
57618,-0.503,-0.225,0.823,3.089,0.409,0.358,8,0
57700,-0.525,-0.257,0.819,-1.882,-0.341,-0.101,7,0
57783,-0.514,-0.237,0.806,1.088,-0.801,1.017,7,0
57866,-0.51,-0.238,0.813,2.004,-1.214,1.939,8,0
57949,-0.506,-0.212,0.82,3.878,-1.239,0.519,8,0
58031,-0.503,-0.229,0.825,2.045,-1.219,-0.515,8,0
58114,-0.505,-0.234,0.825,2.609,-1.807,-0.678,8,0
58196,-0.502,-0.237,0.822,3.788,-2.195,1.277,8,0
58283,-0.501,-0.215,0.824,5.368,-2.795,1.774,8,0
58365,-0.501,-0.201,0.833,2.917,-1.854,1.246,8,0
58448,-0.515,-0.212,0.841,1.162,-1.735,-0.022,8,0
58531,-0.501,-0.208,0.836,1.14,-0.991,0.504,9,0
58614,-0.492,-0.201,0.832,2.006,-0.813,0.578,9,0
58697,-0.504,-0.213,0.834,0.274,-0.726,-0.108,9,0
58780,-0.505,-0.216,0.827,0.303,-0.838,0.048,9,0
58862,-0.496,-0.216,0.823,1.563,-0.834,0.587,9,0
58945,-0.5,-0.202,0.832,0.826,-0.812,0.415,9,0
59032,-0.493,-0.198,0.83,0.056,-0.192,0.366,9,0
59114,-0.494,-0.192,0.836,1.306,-0.505,0.259,9,0
59197,-0.498,-0.206,0.844,-0.219,-0.267,0.534,9,0
59281,-0.497,-0.194,0.837,0.286,-0.051,0.262,9,0
59363,-0.505,-0.209,0.833,-1.433,0.594,-0.762,9,0
59447,-0.508,-0.216,0.829,-1.155,0.276,-0.418,9,0
59530,-0.499,-0.211,0.821,-0.232,-0.193,0.326,9,0
59613,-0.498,-0.199,0.838,0.158,-0.095,0.753,9,0
59695,-0.5,-0.212,0.828,-0.64,0.333,0.19,9,0
59784,-0.503,-0.208,0.829,0.041,0.019,0.178,9,0
59868,-0.492,-0.197,0.83,-0.007,0.332,0.568,9,0
59950,-0.528,-0.222,0.826,0.89,-0.255,0.409,5,5
60032,-0.504,-0.208,0.838,-0.546,-0.085,-0.117,9,0
60113,-0.512,-0.226,0.822,-1.039,-0.349,0.202,9,0
60195,-0.515,-0.219,0.825,1.434,-1.397,0.154,9,0
60277,-0.507,-0.202,0.832,1.459,-0.541,0.27,9,0
60359,-0.515,-0.218,0.818,0.774,-1.218,-0.184,9,0
60441,-0.503,-0.207,0.829,3.022,-1.449,0.522,9,0
60523,-0.501,-0.203,0.835,1.958,-1.319,0.449,9,0
60608,-0.503,-0.215,0.832,1.643,-1.82,0.461,9,0
60690,-0.513,-0.209,0.834,1.635,-2.174,0.084,9,0
60772,-0.492,-0.188,0.828,1.661,-0.48,0.353,9,0
60854,-0.503,-0.202,0.833,1.5,-1.185,0.438,9,0
60937,-0.495,-0.199,0.845,1.688,-1.15,0.944,9,0
61019,-0.496,-0.193,0.838,0.669,-1.023,0.277,9,0
61101,-0.501,-0.201,0.844,-0.67,-0.31,-0.136,9,0
61182,-0.511,-0.213,0.839,0.461,-0.995,0.326,9,0
61264,-0.497,-0.192,0.837,0.48,-0.629,0.069,9,0
61349,-0.504,-0.2,0.834,1.103,-0.92,0.459,9,0
61431,-0.487,-0.179,0.844,0.902,-0.426,0.07,9,0
61513,-0.49,-0.196,0.84,-0.527,0.047,-0.05,9,0
61595,-0.503,-0.204,0.835,0.895,-1.003,0.159,8,0
61677,-0.499,-0.196,0.841,0.673,-0.435,0.708,8,0
61759,-0.501,-0.179,0.835,-0.217,0.096,0.18,9,0
61841,-0.508,-0.211,0.841,-1.35,-0.19,-0.194,5,5
61924,-0.507,-0.191,0.839,-0.223,-0.263,0.072,9,0
62006,-0.49,-0.174,0.841,0.221,-0.047,0.386,9,0
62088,-0.499,-0.207,0.842,-1.706,0.24,0.622,9,0
62173,-0.501,-0.188,0.837,0.048,-0.135,-0.132,9,0
62255,-0.515,-0.216,0.837,-2.819,0.624,-0.554,9,0
62338,-0.503,-0.202,0.827,0.64,0.008,-0.007,9,0
62419,-0.516,-0.221,0.834,0.516,-0.773,0.278,9,0
62501,-0.499,-0.187,0.839,0.499,-0.148,0.518,9,0
62583,-0.512,-0.207,0.826,-0.019,-0.519,0.229,9,0
62665,-0.498,-0.191,0.838,1.206,-0.391,0.135,9,0
62748,-0.506,-0.201,0.832,0.551,-0.57,-0.109,9,0
62830,-0.514,-0.211,0.825,1.203,-1.14,0.631,9,0
62915,-0.502,-0.188,0.843,1.864,-0.957,0.462,9,0
62997,-0.494,-0.187,0.839,1.195,-0.012,0.555,9,0
63080,-0.504,-0.195,0.832,1.165,-1.474,0.237,9,0
63162,-0.498,-0.191,0.84,2.4,-1.288,0.811,9,0
63244,-0.497,-0.185,0.835,1.503,-1.032,0.607,9,0
63327,-0.498,-0.187,0.839,1.282,-0.58,0.194,9,0
63409,-0.499,-0.188,0.842,8.488,4.277,2.805,9,0
63491,-0.447,-0.183,0.905,-28.504,16.934,9.768,8,0
63574,-0.517,-0.301,0.751,-141.687,30.847,-13.944,9,0
63655,-0.795,-0.435,0.678,-119.45,8.815,-8.534,8,0
63741,-0.74,-0.704,0.525,-175.359,-27.22,3.975,9,0
63823,-0.481,-0.657,0.479,-60.954,-33.802,17.395,10,0
63906,-0.375,-0.823,0.483,-108.886,2.131,10.651,11,0
64000,-0.501,-0.667,0.312,-83.076,24.145,17.099,0,0
64093,-0.54,-0.733,0.296,-43.863,-0.287,18.97,0,0
64186,-0.499,-0.719,0.237,3.561,-5.705,15.914,0,0
64280,-0.602,-0.78,0.128,-5.342,-12.276,6.733,5,5
64373,-0.638,-0.821,0.185,-6.29,-13.198,10.756,0,0
64466,-0.567,-0.787,0.191,-2.857,-8.172,8.536,0,0
64563,-0.646,-0.731,0.183,-15.233,-3.486,5.292,0,0
64656,-0.633,-0.71,0.164,3.629,-6.238,3.075,0,0
64749,-0.623,-0.736,0.192,9.535,0.045,5.09,0,0
64842,-0.64,-0.784,0.227,-4.026,-2.463,4.37,0,0
64935,-0.76,-0.805,0.156,26.429,-9.381,-4.485,0,0
65029,-0.855,-1.002,0.16,118.634,3.706,-25.008,0,0
65112,-0.82,-0.609,0.125,118.832,50.191,-56.519,17,0
65206,-0.746,-0.901,0.342,12.92,38.695,-126.878,0,0
65289,-0.668,-0.916,0.447,238.328,4.365,-119.954,29,0
65377,-0.168,-0.053,0.415,201.618,-15.624,-65.015,38,0
65470,-0.052,-0.288,0.727,-31.723,0.531,-92.427,5,5
65555,-0.087,-0.443,0.8,80.511,19.847,-32.397,49,0
65640,-0.2,0.062,0.704,97.931,25.252,-8.446,52,0
65725,-0.042,0.071,1.002,69.908,28.214,16.28,56,0
65812,-0.051,0.22,1.148,34.115,65.489,46.855,0,87
65906,-0.131,0.149,0.943,-78.847,84.366,55.435,0,0
65998,-0.416,0.113,0.785,-28.626,70.145,92.527,0,186
66088,-1.03,0.063,0.49,-92.595,35.527,56.557,148,186
66176,-0.922,-0.079,0.653,-11.122,28.107,52.931,47,189
66266,-0.881,0.078,0.493,10.056,32.092,34.626,146,0
66351,-0.741,-0.075,0.73,-64.748,21.298,11.221,33,200
66435,-0.763,-0.198,0.806,-12.915,18.29,60.71,36,0
66519,-0.707,-0.109,0.686,-80.779,20.652,60.42,34,0
66603,-0.875,0.046,0.484,-34.252,4.582,34.069,36,0
66688,-0.981,0.112,0.439,-32.145,-3.047,25.963,36,0
66771,-0.767,0.137,0.545,-12.752,27.458,33.924,38,0
66860,-0.849,0.143,0.56,60.176,39.45,20.667,44,0
66944,-0.845,0.054,0.45,-21.824,21.664,0.508,42,0
67028,-0.901,0.145,0.329,25.91,32.282,8.978,41,0
67119,-0.762,0.208,0.388,13.885,6.583,-23.74,140,0
67209,-0.869,-0.081,0.354,37.794,21.771,-26.22,138,0
67294,-0.952,-0.247,0.519,43.321,23.595,-22.832,49,0
67379,-0.923,-0.319,0.523,9.723,35.26,-9.721,36,0
67464,-1.049,-0.176,0.392,-12.611,30.084,-1.735,47,0
67549,-1.033,-0.016,0.147,-16.58,24.023,12.766,44,0
67636,-0.956,0.104,0.118,-1.312,-1.801,17.084,44,0
